noteLocation,xValue,zValue
0.00 ,4.00 ,0.00 
1.70 ,0.00 ,1.70 
3.40 ,0.00 ,3.40 
5.00 ,4.00 ,5.00 
10.00 ,4.00 ,10.00 
11.70 ,0.00 ,11.70 
13.40 ,0.00 ,13.40 
15.00 ,4.00 ,15.00 
20.00 ,4.00 ,20.00 
21.70 ,0.00 ,21.70 
23.40 ,0.00 ,23.40 
25.00 ,4.00 ,25.00 
27.50 ,2.00 ,27.50 
30.00 ,4.00 ,30.00 
31.70 ,0.00 ,31.70 
33.40 ,0.00 ,33.40 
35.00 ,4.00 ,35.00 
40.00 ,4.00 ,0.00 
41.70 ,0.00 ,1.70 
43.40 ,0.00 ,3.40 
45.00 ,4.00 ,5.00 
50.00 ,4.00 ,10.00 
51.70 ,0.00 ,11.70 
53.40 ,0.00 ,13.40 
55.00 ,4.00 ,15.00 
60.00 ,4.00 ,20.00 
61.70 ,0.00 ,21.70 
63.40 ,0.00 ,23.40 
65.00 ,4.00 ,25.00 
67.50 ,2.00 ,27.50 
70.00 ,4.00 ,30.00 
71.70 ,0.00 ,31.70 
73.40 ,0.00 ,33.40 
75.00 ,4.00 ,35.00 
80.00 ,4.00 ,0.00 
81.70 ,0.00 ,1.70 
82.55 ,0.00 ,2.55 
83.40 ,0.00 ,3.40 
85.00 ,4.00 ,5.00 
90.00 ,4.00 ,10.00 
91.70 ,0.00 ,11.70 
93.40 ,0.00 ,13.40 
95.00 ,4.00 ,15.00 
100.00 ,4.00 ,20.00 
101.70 ,0.00 ,21.70 
102.55 ,0.00 ,22.55 
103.40 ,0.00 ,23.40 
105.00 ,4.00 ,25.00 
107.50 ,2.00 ,27.50 
110.00 ,4.00 ,30.00 
111.70 ,0.00 ,31.70 
113.40 ,0.00 ,33.40 
115.00 ,4.00 ,35.00 
120.00 ,4.00 ,0.00 
121.70 ,0.00 ,1.70 
122.55 ,0.00 ,2.55 
123.40 ,0.00 ,3.40 
125.00 ,4.00 ,5.00 
130.00 ,4.00 ,10.00 
131.70 ,0.00 ,11.70 
133.40 ,0.00 ,13.40 
135.00 ,4.00 ,15.00 
140.00 ,4.00 ,20.00 
141.70 ,0.00 ,21.70 
142.55 ,0.00 ,22.55 
143.40 ,0.00 ,23.40 
145.00 ,4.00 ,25.00 
147.50 ,2.00 ,27.50 
150.00 ,4.00 ,30.00 
151.70 ,0.00 ,31.70 
153.40 ,0.00 ,33.40 
155.00 ,4.00 ,35.00 
