noteLocation,xValue,isTrap,
0.00 ,4.00 ,0.00 ,
2.66 ,2.00 ,0.00 ,
5.31 ,2.00 ,0.00 ,
8.00 ,4.00 ,0.00 ,
9.60 ,0.00 ,0.00 ,
11.20 ,2.00 ,0.00 ,
13.60 ,2.00 ,0.00 ,
16.00 ,4.00 ,0.00 ,
18.66 ,2.00 ,0.00 ,
21.31 ,2.00 ,0.00 ,
24.00 ,4.00 ,0.00 ,
25.60 ,0.00 ,0.00 ,
27.20 ,2.00 ,0.00 ,
29.60 ,2.00 ,0.00 ,
32.00 ,4.00 ,0.00 ,
36.00 ,2.00 ,0.00 ,
40.00 ,4.00 ,0.00 ,
41.60 ,0.00 ,0.00 ,
44.00 ,2.00 ,0.00 ,
48.00 ,4.00 ,0.00 ,
52.00 ,2.00 ,0.00 ,
56.00 ,4.00 ,0.00 ,
57.60 ,0.00 ,0.00 ,
60.00 ,2.00 ,0.00 ,
64.00 ,4.00 ,0.00 ,
66.66 ,2.00 ,0.00 ,
69.31 ,2.00 ,0.00 ,
72.00 ,4.00 ,0.00 ,
73.60 ,0.00 ,0.00 ,
75.20 ,2.00 ,0.00 ,
77.60 ,2.00 ,0.00 ,
80.00 ,4.00 ,0.00 ,
82.66 ,2.00 ,0.00 ,
85.31 ,2.00 ,0.00 ,
88.00 ,4.00 ,0.00 ,
89.60 ,0.00 ,0.00 ,
91.20 ,2.00 ,0.00 ,
93.60 ,2.00 ,0.00 ,
96.00 ,4.00 ,0.00 ,
100.00 ,2.00 ,0.00 ,
104.00 ,4.00 ,0.00 ,
105.60 ,0.00 ,0.00 ,
108.00 ,2.00 ,0.00 ,
112.00 ,4.00 ,0.00 ,
116.00 ,2.00 ,0.00 ,
120.00 ,4.00 ,0.00 ,
121.60 ,0.00 ,0.00 ,
124.00 ,2.00 ,0.00 ,
128.00 ,4.00 ,0.00 ,
132.00 ,2.00 ,0.00 ,
136.00 ,4.00 ,0.00 ,
137.60 ,0.00 ,0.00 ,
139.20 ,2.00 ,0.00 ,
140.80 ,0.00 ,0.00 ,
142.40 ,2.00 ,0.00 ,
144.00 ,4.00 ,0.00 ,
148.00 ,2.00 ,0.00 ,
152.00 ,4.00 ,0.00 ,
153.60 ,0.00 ,0.00 ,
155.20 ,2.00 ,0.00 ,
156.80 ,0.00 ,0.00 ,
158.40 ,2.00 ,0.00 ,
160.00 ,4.00 ,0.00 ,
164.00 ,2.00 ,0.00 ,
168.00 ,4.00 ,0.00 ,
169.60 ,2.00 ,0.00 ,
176.00 ,4.00 ,0.00 ,
180.00 ,2.00 ,0.00 ,
184.00 ,4.00 ,0.00 ,
185.60 ,2.00 ,0.00 ,
192.00 ,4.00 ,0.00 ,
196.00 ,2.00 ,0.00 ,
200.00 ,4.00 ,0.00 ,
201.60 ,0.00 ,0.00 ,
203.20 ,2.00 ,0.00 ,
204.80 ,0.00 ,0.00 ,
206.40 ,2.00 ,0.00 ,
208.00 ,4.00 ,0.00 ,
212.00 ,2.00 ,0.00 ,
216.00 ,4.00 ,0.00 ,
217.60 ,0.00 ,0.00 ,
219.20 ,2.00 ,0.00 ,
220.80 ,0.00 ,0.00 ,
222.40 ,2.00 ,0.00 ,
224.00 ,4.00 ,0.00 ,
228.00 ,2.00 ,0.00 ,
232.00 ,4.00 ,0.00 ,
233.60 ,2.00 ,0.00 ,
240.00 ,4.00 ,0.00 ,
244.00 ,2.00 ,0.00 ,
248.00 ,4.00 ,0.00 ,
249.60 ,2.00 ,0.00 ,
