noteLocation,xValue,isTrap
0.00 ,2.00 ,0.00 
4.00 ,4.00 ,0.00 
8.00 ,2.00 ,0.00 
12.00 ,4.00 ,0.00 
20.00 ,1.00 ,0.00 
22.00 ,2.00 ,0.00 
24.00 ,3.00 ,0.00 
32.00 ,2.00 ,0.00 
36.00 ,4.00 ,0.00 
40.00 ,2.00 ,0.00 
42.00 ,3.00 ,0.00 
44.00 ,4.00 ,0.00 
48.00 ,2.00 ,0.00 
56.00 ,2.00 ,0.00 
60.00 ,4.00 ,0.00 
64.00 ,2.00 ,0.00 
68.00 ,4.00 ,0.00 
72.00 ,2.00 ,0.00 
76.00 ,4.00 ,0.00 
84.00 ,1.00 ,0.00 
86.00 ,2.00 ,0.00 
88.00 ,3.00 ,0.00 
96.00 ,2.00 ,0.00 
100.00 ,4.00 ,0.00 
104.00 ,2.00 ,0.00 
106.00 ,3.00 ,0.00 
108.00 ,4.00 ,0.00 
112.00 ,2.00 ,0.00 
120.00 ,2.00 ,0.00 
124.00 ,4.00 ,0.00 
