noteLocation,xValue,isTrap
0.00 ,2.00 ,0.00 
5.00 ,2.00 ,0.00 
10.00 ,2.00 ,0.00 
15.00 ,2.00 ,0.00 
20.00 ,2.00 ,0.00 
25.00 ,2.00 ,0.00 
30.00 ,2.00 ,0.00 
35.00 ,2.00 ,0.00 
40.00 ,2.00 ,0.00 
45.00 ,2.00 ,0.00 
50.00 ,2.00 ,0.00 
55.00 ,2.00 ,0.00 
60.00 ,2.00 ,0.00 
65.00 ,2.00 ,0.00 
70.00 ,2.00 ,0.00 
75.00 ,2.00 ,0.00 
80.00 ,2.00 ,0.00 
85.00 ,2.00 ,0.00 
90.00 ,2.00 ,0.00 
95.00 ,2.00 ,0.00 
100.00 ,2.00 ,0.00 
105.00 ,2.00 ,0.00 
110.00 ,2.00 ,0.00 
115.00 ,2.00 ,0.00 
120.00 ,2.00 ,0.00 
125.00 ,2.00 ,0.00 
130.00 ,2.00 ,0.00 
135.00 ,2.00 ,0.00 
140.00 ,2.00 ,0.00 
145.00 ,2.00 ,0.00 
150.00 ,2.00 ,0.00 
155.00 ,2.00 ,0.00 
160.00 ,2.00 ,0.00 
